,seed,actions
43,43,"[2, 2, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 3, 3, 1, 2, 3, 2, 1, 2, 2, 0, 3, 0, 2, 3, 3, 3, 1, 2, 3, 2, 1, 2, 2, 0, 2, 2, 0, 3, 2, 3, 1, 3, 1, 3, 3, 0, 3, 0, 2, 2, 1, 3, 3, 0, 2, 2, 1, 2, 2, 0, 3, 2, 3, 1, 1, 3, 2, 3, 0, 2, 0, 3, 2, 3, 1, 3, 3, 0, 2, 2, 3, 3, 1, 2, 2, 2, 1, 3, 1, 3, 0, 2, 2, 0, 3, 0, 3, 3, 1, 2, 3, 2, 1, 2, 2, 0, 2, 0, 3, 2, 3, 1, 1, 3, 3, 0, 2, 2, 0, 3, 2, 2, 2, 1, 3, 3, 2, 3, 1, 3, 3, 0, 3, 0, 2, 3, 2, 1, 1, 2, 2, 0, 0, 3, 1]"
44,44,"[0, 3, 3, 0, 0, 3, 0, 2, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 3, 1, 2, 1, 1, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 0, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 2, 1, 1, 2, 2, 0, 3, 2, 0, 0, 3, 0, 3, 3, 1, 2]"
45,45,"[3, 2, 0, 0, 3, 1, 2, 1, 1, 3, 2, 0, 0, 3, 1, 2, 1, 1, 3, 0, 2, 3, 1, 3, 3, 0, 2, 2, 3, 3, 1, 2, 2, 2, 0, 0, 0, 3, 1, 2, 3, 0, 0, 0, 2, 1, 3, 1, 1, 2, 1, 3]"
46,46,"[2, 2, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 3, 3, 3, 0, 2, 2, 3, 3, 1, 2, 2, 2, 2, 2, 0, 0, 3, 1, 2, 1, 3, 3, 3, 0, 2, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 2, 0]"
47,47,[]
48,48,[]
49,49,[]
50,50,[]
51,51,[]
52,52,"[0, 3, 3, 2, 3, 1, 3, 0, 0, 3, 1, 2, 0, 0, 2, 0, 3]"
